Municipio_Complete,lat__long
"Ferreira Gomes, Amapá, AP, Brasil","0.858256999999999, -51.1800169"
"Tartarugalzinho, Amapá, AP, Brasil","1.5056624, -50.9118916"
"Laranjal Do Jari, Amapá, AP, Brasil","-0.8398105, -52.5189985"
"Oiapoque, Amapá, AP, Brasil","3.8429349, -51.8344456"
"Porto Grande, Amapá, AP, Brasil","0.707994799999999, -51.4100688"
"Pedra Branca Do Amapari, Amapá, AP, Brasil","0.777080999999999, -51.9507547"
"Santana, Amapá, AP, Brasil","-0.051065, -51.178517"
"Macapá, Amapá, AP, Brasil","0.0405217, -51.0560957"
"Pracuúba, Amapá, AP, Brasil","1.7443538, -50.7849289"
"Itaubal, Amapá, AP, Brasil","0.6030784, -50.7006895"
"Amapá, Amapá, AP, Brasil","0.0405217, -51.0560957"
"Serra Do Navio, Amapá, AP, Brasil","0.901710999999999, -52.0033808"
"Cutias, Amapá, AP, Brasil","0.969260199999999, -50.7994654"
"Vitória Do Jari, Amapá, AP, Brasil","-0.926397799999999, -52.4239782999999"
"Mazagão, Amapá, AP, Brasil","-0.1154774, -51.2877839"
"Calçoene, Amapá, AP, Brasil","2.4949522, -50.9482138"
